id,list_price,uom_id/id,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,purchase_ok,active
105,1.00,1,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
106,1.00,1,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,FALSE,TRUE
107,1.00,1,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,FALSE,TRUE
108,1.00,1,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,FALSE,TRUE
109,1.00,1,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,FALSE,TRUE
110,1.00,1,1,a) Art 17º Tabela Geral -Campas rasas e gavetões,TRUE,1,1,product,FALSE,TRUE
111,1.00,1,1,Art 17º Tabela Geral - Tratamento sepulturas/sinai,TRUE,1,1,product,FALSE,TRUE
112,1.00,1,1,Art 17º Tabela Geral-Tratamento sepulturas/sinais,TRUE,1,1,product,FALSE,TRUE
113,1.00,1,1,Art 17º Tabela Geral -Tratamento sepulturas/sinais,TRUE,1,1,product,FALSE,TRUE
114,1.00,1,1,Art 17º Tabela Geral -Tratamento sepulturas/sinais,TRUE,1,1,product,FALSE,TRUE
115,1.00,1,1,b) Art 17º Tabela Geral -Capela e até 6 gavetas,TRUE,1,1,product,FALSE,TRUE
116,1.00,1,1,c) Art 17º Tabela Geral -Capela e mais de 6 gaveta,TRUE,1,1,product,FALSE,TRUE
117,1.00,1,1,d) Art 17º Tabela Geral - com grades,TRUE,1,1,product,FALSE,TRUE
118,1.00,1,1,e) Art 17º Tabela Geral -Ornamentação,TRUE,1,1,product,FALSE,TRUE
119,1.00,1,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,FALSE,TRUE
120,1.00,1,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,FALSE,TRUE
121,1.00,1,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,FALSE,TRUE
122,1.00,1,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,FALSE,TRUE
123,1.00,1,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,FALSE,TRUE
124,1.00,1,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,FALSE,TRUE
125,1.00,1,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,FALSE,TRUE
126,1.00,1,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,FALSE,TRUE
127,1.00,1,1,Nº 1 Art 19º Tabela Geral - Estaciona/to viaturas,TRUE,1,1,product,FALSE,TRUE
128,1.00,1,1,Nº 2 Art 19º Tabela Geral - Ocupação estaciona/to,TRUE,1,1,product,FALSE,TRUE
129,1.00,1,1,a)Nº3 Art 19º Tabela Geral -Parcómetros z amarela,TRUE,1,1,product,FALSE,TRUE
130,1.00,1,1,b)Nº3 Art 19º Tabela Geral-Parcómetros z verde,TRUE,1,1,product,FALSE,TRUE
131,1.00,1,1,c)Nº3 Art 19º Tabela Geral-Parcómetros z vermelha,TRUE,1,1,product,FALSE,TRUE
132,1.00,1,1,d)Nº3 Art 19º Tabela Geral-Parcómetros z castanha,TRUE,1,1,product,FALSE,TRUE
133,1.00,1,1,a)Nº 4 Art 19º Tabela Geral-1 Cartão de Morador,TRUE,1,1,product,FALSE,TRUE
134,1.00,1,1,b)Nº 4 Art 19º Tabela Geral-1 Cartão de Morador,TRUE,1,1,product,FALSE,TRUE
135,1.00,1,1,Art. 20º Tabela Geral - Circulação viaturas,TRUE,1,1,product,FALSE,TRUE
136,1.00,1,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,FALSE,TRUE
137,1.00,1,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,FALSE,TRUE
138,1.00,1,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,FALSE,TRUE
139,1.00,1,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,FALSE,TRUE
140,1.00,1,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,FALSE,TRUE
141,1.00,1,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,FALSE,TRUE
142,1.00,1,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,FALSE,TRUE
143,1.00,1,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,FALSE,TRUE
144,1.00,1,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,FALSE,TRUE
145,1.00,1,1,Nº1 Art 22º Tabela Geral-Diária investigadores,TRUE,1,1,product,FALSE,TRUE
146,1.00,1,1,Nº2 Art22º Tabela Geral-Aluguer espaço laboratório,TRUE,1,1,product,FALSE,TRUE
147,1.00,1,1,Nº3 Art22º Tabela Geral-Aluguer laboratório,TRUE,1,1,product,FALSE,TRUE
148,1.00,1,1,Nº1 Art 23º Tabela Geral - Antenas via pública,TRUE,1,1,product,FALSE,TRUE
149,1.00,1,1,"Nº2 Art 23º Tabela Geral - Fios,cabos telefónicos?",TRUE,1,1,product,FALSE,TRUE
150,1.00,1,1,Nº3 Art 23º Tabela Geral-Guindastes e semelhantes,TRUE,1,1,product,FALSE,TRUE
151,1.00,1,1,a)Nº4 Art 23º Tabela Geral-Alpendres até 1m,TRUE,1,1,product,FALSE,TRUE
152,1.00,1,1,b)Nº4 Art 23º Tabela Geral-Alpendres c/mais de 1m,TRUE,1,1,product,FALSE,TRUE
153,1.00,1,1,a)Nº5 Art 23º Tabela Geral-Toldos até 1m,TRUE,1,1,product,FALSE,TRUE
154,1.00,1,1,b)Nº5 Art 23º Tabela Geral-Toldos c/mais de 1m,TRUE,1,1,product,FALSE,TRUE
155,1.00,1,1,Obs nº12 Art35º Reg.Geral Taxas-Pub com ocup.via,TRUE,1,1,product,FALSE,TRUE
156,1.00,1,1,Nº6 Art 23º Tabela Geral-Sanefas,TRUE,1,1,product,FALSE,TRUE
