id,list_price,uom_id/id,cost_method,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,supply_method,procure_method,purchase_ok,standard_price
128,1.00,1,standard,1,Nº 2 Art 19º Tabela Geral - Ocupação estaciona/to,TRUE,1,1,product,produce,make_to_stock,FALSE,1
129,1.00,1,standard,1,a)Nº3 Art 19º Tabela Geral -Parcómetros z amarela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
130,1.00,1,standard,1,b)Nº3 Art 19º Tabela Geral-Parcómetros z verde,TRUE,1,1,product,produce,make_to_stock,FALSE,1
131,1.00,1,standard,1,c)Nº3 Art 19º Tabela Geral-Parcómetros z vermelha,TRUE,1,1,product,produce,make_to_stock,FALSE,1
132,1.00,1,standard,1,d)Nº3 Art 19º Tabela Geral-Parcómetros z castanha,TRUE,1,1,product,produce,make_to_stock,FALSE,1
133,1.00,1,standard,1,a)Nº 4 Art 19º Tabela Geral-1 Cartão de Morador,TRUE,1,1,product,produce,make_to_stock,FALSE,1
134,1.00,1,standard,1,b)Nº 4 Art 19º Tabela Geral-1 Cartão de Morador,TRUE,1,1,product,produce,make_to_stock,FALSE,1
135,1.00,1,standard,1,Art. 20º Tabela Geral - Circulação viaturas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
136,1.00,1,standard,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,produce,make_to_stock,FALSE,1
137,1.00,1,standard,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,produce,make_to_stock,FALSE,1
138,1.00,1,standard,1,Nº 1 Art 21º Tabela Geral-Entradas museus adulto,TRUE,1,1,product,produce,make_to_stock,FALSE,1
139,1.00,1,standard,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,produce,make_to_stock,FALSE,1
140,1.00,1,standard,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,produce,make_to_stock,FALSE,1
141,1.00,1,standard,1,Nº 2 Art 21º Tabela Geral-Entradas museus jovens,TRUE,1,1,product,produce,make_to_stock,FALSE,1
142,1.00,1,standard,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,produce,make_to_stock,FALSE,1
143,1.00,1,standard,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,produce,make_to_stock,FALSE,1
144,1.00,1,standard,1,Nº 3 Art 21º Tabela Geral-Entradas museus 3ªidade,TRUE,1,1,product,produce,make_to_stock,FALSE,1
145,1.00,1,standard,1,Nº1 Art 22º Tabela Geral-Diária investigadores,TRUE,1,1,product,produce,make_to_stock,FALSE,1
146,1.00,1,standard,1,Nº2 Art22º Tabela Geral-Aluguer espaço laboratório,TRUE,1,1,product,produce,make_to_stock,FALSE,1
147,1.00,1,standard,1,Nº3 Art22º Tabela Geral-Aluguer laboratório,TRUE,1,1,product,produce,make_to_stock,FALSE,1
148,1.00,1,standard,1,Nº1 Art 23º Tabela Geral - Antenas via pública,TRUE,1,1,product,produce,make_to_stock,FALSE,1
149,1.00,1,standard,1,"Nº2 Art 23º Tabela Geral - Fios,cabos telefónicos?",TRUE,1,1,product,produce,make_to_stock,FALSE,1
150,1.00,1,standard,1,Nº3 Art 23º Tabela Geral-Guindastes e semelhantes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
